grade_id,Grade 1,Grade 2,Grade 3,Grade 4,GPA 1,Grade 1,Grade 2,Grade 3,Grade 4,GPA 2
1,A-,A-,A-,A-,,A,A,A,B-,
2,A-,A-,A-,A-,,A,A,A,B,
3,A-,A-,A-,A-,,A,A,A,B+,
4,A-,A-,A-,B+,,A,A,A,C+,
5,A-,A-,A-,B,,A,A,A,C+,
6,A-,A-,A-,B-,,A,A,A,C+,
7,A,A-,B+,B+,,A,A,A,C+,
8,A,A,B+,B,,A,A,A,C+,
9,A-,A-,B+,B+,,A,A,A-,C+,
10,A-,A-,B+,B+,,A,A,A,C-,
11,A-,A-,B+,B+,,A,A,A,C,
12,A-,A-,B+,B+,,A,A,A,C+,
13,A-,A-,A-,B-,,A,A,A,C-,
14,A-,A-,A-,B-,,A,A,A,C,
15,A,A,B,B,,A,A,A-,C+,
16,A,A,B,B,,A,A,A,C-,
17,A,A,B,B,,A,A,A,C,
18,A,A,B,B,,A,A,A,C+,
19,A,A,B+,B-,,A,A,A,C,
20,A,A,A,A-,,A,A,A,A-,
21,A,A,A,A,,A,A,A,A,
22,A,A,A,A,,A,A,A,A-,
23,A-,A-,A-,A-,,A,A,A,C+,
24,A,A,B,B,,A,A,A,B-,
