pair_id,grade_dict1__1,grade_dict2__1,grade_dict3__1,grade_dict4__1,grade_dict1__2,grade_dict2__2,grade_dict3__2,grade_dict4__2,F/F,M/F,M/M,F/M
1,A-,A-,A-,A-,A,A,A,B-,10,30,10,30
2,A-,A-,A-,A-,A,A,A,B,10,30,10,30
3,A-,A-,A-,A-,A,A,A,B+,10,30,10,30
4,A-,A-,A-,B+,A,A,A,C+,10,30,10,30
5,A-,A-,A-,B,A,A,A,C+,10,30,10,30
6,A-,A-,A-,B-,A,A,A,C+,10,30,10,30
7,A,A-,B+,B+,A,A,A,C+,10,30,10,30
8,A,A,B+,B,A,A,A,C+,10,30,10,30
9,A-,A-,B+,B+,A,A,A-,C+,10,30,10,30
10,A-,A-,B+,B+,A,A,A,C-,10,30,10,30
11,A-,A-,B+,B+,A,A,A,C,10,30,10,30
12,A-,A-,B+,B+,A,A,A,C+,10,30,10,30
13,A-,A-,A-,B-,A,A,A,C-,10,30,10,30
14,A-,A-,A-,B-,A,A,A,C,10,30,10,30
15,A,A,B,B,A,A,A-,C+,10,30,10,30
16,A,A,B,B,A,A,A,C-,10,30,10,30
17,A,A,B,B,A,A,A,C,10,30,10,30
18,A,A,B,B,A,A,A,C+,10,30,10,30
19,A,A,B+,B-,A,A,A,C,10,30,10,30
20,A,A,A,A-,A,A,A,A-,10,30,10,30
21,A,A,A,A,A,A,A,A,10,30,10,30
22,A,A,A,A,A,A,A,A-,10,30,10,30
23,A-,A-,A-,A-,A,A,A,C+,10,30,10,30
24,A,A,B,B,A,A,A,B-,10,30,10,30
